Expert,Level,Affinity,Advancement,Stat Boosted,Stats,Relationship Status
Cyrille,25,620,0,Troops Attack,4.58%,Acquaintance 2
Cyrille,26,640,0,Troops Attack,4.65%,Acquaintance 2
Cyrille,27,660,0,Troops Attack,4.73%,Acquaintance 2
Cyrille,28,680,0,Troops Attack,4.80%,Acquaintance 2
Cyrille,29,700,0,Troops Attack,4.88%,Acquaintance 2
Cyrille,30,730,15,Troops Attack,5.55%,Acquaintance 3
Cyrille,31,760,0,Troops Attack,5.63%,Acquaintance 3
Cyrille,32,790,0,Troops Attack,5.70%,Acquaintance 3
Cyrille,33,820,0,Troops Attack,5.78%,Acquaintance 3
Cyrille,34,850,0,Troops Attack,5.85%,Acquaintance 3
Cyrille,35,880,0,Troops Attack,5.93%,Acquaintance 3
Cyrille,36,910,0,Troops Attack,6.00%,Acquaintance 3
Cyrille,37,940,0,Troops Attack,6.08%,Acquaintance 3
Cyrille,38,970,0,Troops Attack,6.15%,Acquaintance 3
Cyrille,39,1000,0,Troops Attack,6.23%,Acquaintance 3
Cyrille,40,1040,20,Troops Attack,6.90%,Casual 1
Cyrille,41,1080,0,Troops Attack,6.98%,Casual 1
Cyrille,42,1120,0,Troops Attack,7.05%,Casual 1
Cyrille,43,1160,0,Troops Attack,7.13%,Casual 1
Cyrille,44,1200,0,Troops Attack,7.20%,Casual 1
Cyrille,45,1240,0,Troops Attack,7.28%,Casual 1
Cyrille,46,1280,0,Troops Attack,7.35%,Casual 1
Cyrille,47,1320,0,Troops Attack,7.43%,Casual 1
Cyrille,48,1360,0,Troops Attack,7.50%,Casual 1
Cyrille,49,1400,0,Troops Attack,7.58%,Casual 1
Cyrille,50,1450,25,Troops Attack,8.25%,Casual 2
Cyrille,51,1500,0,Troops Attack,8.33%,Casual 2
Cyrille,52,1550,0,Troops Attack,8.40%,Casual 2
Cyrille,53,1600,0,Troops Attack,8.48%,Casual 2
Cyrille,54,1650,0,Troops Attack,8.55%,Casual 2
Cyrille,55,1700,0,Troops Attack,8.63%,Casual 2
Cyrille,56,1750,0,Troops Attack,8.70%,Casual 2
Cyrille,57,1800,0,Troops Attack,8.78%,Casual 2
Cyrille,58,1850,0,Troops Attack,8.85%,Casual 2
Cyrille,59,1900,0,Troops Attack,8.93%,Casual 2
Cyrille,60,1950,30,Troops Attack,9.60%,Casual 3
Cyrille,61,2000,0,Troops Attack,9.68%,Casual 3
Cyrille,62,2050,0,Troops Attack,9.75%,Casual 3
Cyrille,63,2100,0,Troops Attack,9.83%,Casual 3
Cyrille,64,2150,0,Troops Attack,9.90%,Casual 3
Cyrille,65,2200,0,Troops Attack,9.98%,Casual 3
Cyrille,66,2250,0,Troops Attack,10.05%,Casual 3
Cyrille,67,2300,0,Troops Attack,10.13%,Casual 3
Cyrille,68,2350,0,Troops Attack,10.20%,Casual 3
Cyrille,69,2400,0,Troops Attack,10.28%,Casual 3
Cyrille,70,2450,35,Troops Attack,10.95%,Close 1
Cyrille,71,2500,0,Troops Attack,11.03%,Close 1
Cyrille,72,2550,0,Troops Attack,11.10%,Close 1
Cyrille,73,2600,0,Troops Attack,11.18%,Close 1
Cyrille,74,2650,0,Troops Attack,11.25%,Close 1
Cyrille,75,2700,0,Troops Attack,11.33%,Close 1
Cyrille,76,2750,0,Troops Attack,11.40%,Close 1
Cyrille,77,2800,0,Troops Attack,11.48%,Close 1
Cyrille,78,2850,0,Troops Attack,11.55%,Close 1
Cyrille,79,2900,0,Troops Attack,11.63%,Close 1
Cyrille,80,2950,40,Troops Attack,12.30%,Close 2
Cyrille,81,3000,0,Troops Attack,12.38%,Close 2
Cyrille,82,3050,0,Troops Attack,12.45%,Close 2
Cyrille,83,3100,0,Troops Attack,12.53%,Close 2
Cyrille,84,3150,0,Troops Attack,12.60%,Close 2
Cyrille,85,3200,0,Troops Attack,12.68%,Close 2
Cyrille,86,3250,0,Troops Attack,12.75%,Close 2
Cyrille,87,3300,0,Troops Attack,12.83%,Close 2
Cyrille,88,3350,0,Troops Attack,12.90%,Close 2
Cyrille,89,3400,0,Troops Attack,12.98%,Close 2
Cyrille,90,3450,45,Troops Attack,13.65%,Close 3
Cyrille,91,3500,0,Troops Attack,13.73%,Close 3
Cyrille,92,3550,0,Troops Attack,13.80%,Close 3
Cyrille,93,3600,0,Troops Attack,13.88%,Close 3
Cyrille,94,3650,0,Troops Attack,13.95%,Close 3
Cyrille,95,3700,0,Troops Attack,14.03%,Close 3
Cyrille,96,3750,0,Troops Attack,14.10%,Close 3
Cyrille,97,3800,0,Troops Attack,14.18%,Close 3
Cyrille,98,3850,0,Troops Attack,14.25%,Close 3
Cyrille,99,3900,0,Troops Attack,14.33%,Close 3
Cyrille,100,3950,50,Troops Attack,15.00%,Intimate
Holger,1,1000,0,Troops Attack/Defense,1.58%,Stranger
Holger,2,600,0,Troops Attack/Defense,1.65%,Stranger
Holger,3,630,0,Troops Attack/Defense,1.73%,Stranger
Holger,4,660,0,Troops Attack/Defense,1.80%,Stranger
Holger,5,690,0,Troops Attack/Defense,1.88%,Stranger
Holger,6,720,0,Troops Attack/Defense,1.95%,Stranger
Holger,7,780,0,Troops Attack/Defense,2.03%,Stranger
Holger,8,840,0,Troops Attack/Defense,2.10%,Stranger
Holger,9,900,0,Troops Attack/Defense,2.18%,Stranger
Holger,10,960,8,Troops Attack/Defense,2.85%,Acquaintance 1
Holger,11,1020,0,Troops Attack/Defense,2.93%,Acquaintance 1
Holger,12,1080,0,Troops Attack/Defense,3.00%,Acquaintance 1
Holger,13,1140,0,Troops Attack/Defense,3.08%,Acquaintance 1
Holger,14,1200,0,Troops Attack/Defense,3.15%,Acquaintance 1
Holger,15,1260,0,Troops Attack/Defense,3.23%,Acquaintance 1
Holger,16,1320,0,Troops Attack/Defense,3.30%,Acquaintance 1
Holger,17,1380,0,Troops Attack/Defense,3.38%,Acquaintance 1
Holger,18,1440,0,Troops Attack/Defense,3.45%,Acquaintance 1
Holger,19,1500,0,Troops Attack/Defense,3.53%,Acquaintance 1
Holger,20,1560,16,Troops Attack/Defense,4.20%,Acquaintance 2
Holger,21,1620,0,Troops Attack/Defense,4.28%,Acquaintance 2
Holger,22,1680,0,Troops Attack/Defense,4.35%,Acquaintance 2
Holger,23,1740,0,Troops Attack/Defense,4.43%,Acquaintance 2
Holger,24,1800,0,Troops Attack/Defense,4.50%,Acquaintance 2
Holger,25,1860,0,Troops Attack/Defense,4.58%,Acquaintance 2
Holger,26,1920,0,Troops Attack/Defense,4.65%,Acquaintance 2
Holger,27,1980,0,Troops Attack/Defense,4.73%,Acquaintance 2
Holger,28,2040,0,Troops Attack/Defense,4.80%,Acquaintance 2
Holger,29,2100,0,Troops Attack/Defense,4.88%,Acquaintance 2
Holger,30,2190,24,Troops Attack/Defense,5.55%,Acquaintance 3
Holger,31,2280,0,Troops Attack/Defense,5.63%,Acquaintance 3
Holger,32,2370,0,Troops Attack/Defense,5.70%,Acquaintance 3
Holger,33,2460,0,Troops Attack/Defense,5.78%,Acquaintance 3
Holger,34,2550,0,Troops Attack/Defense,5.85%,Acquaintance 3
Holger,35,2640,0,Troops Attack/Defense,5.93%,Acquaintance 3
Holger,36,2730,0,Troops Attack/Defense,6.00%,Acquaintance 3
Holger,37,2820,0,Troops Attack/Defense,6.08%,Acquaintance 3
Holger,38,2910,0,Troops Attack/Defense,6.15%,Acquaintance 3
Holger,39,300,0,Troops Attack/Defense,6.23%,Acquaintance 3
Holger,40,3120,32,Troops Attack/Defense,6.90%,Casual 1
Holger,41,3240,0,Troops Attack/Defense,6.98%,Casual 1
Holger,42,3360,0,Troops Attack/Defense,7.05%,Casual 1
Holger,43,3480,0,Troops Attack/Defense,7.13%,Casual 1
Holger,44,3600,0,Troops Attack/Defense,7.20%,Casual 1
Holger,45,3720,0,Troops Attack/Defense,7.28%,Casual 1
Holger,46,3840,0,Troops Attack/Defense,7.35%,Casual 1
Holger,47,3960,0,Troops Attack/Defense,7.43%,Casual 1
Holger,48,4080,0,Troops Attack/Defense,7.50%,Casual 1
Holger,49,4200,0,Troops Attack/Defense,7.58%,Casual 1
Holger,50,4350,40,Troops Attack/Defense,8.25%,Casual 2
Holger,51,4500,0,Troops Attack/Defense,8.33%,Casual 2
Holger,52,4650,0,Troops Attack/Defense,8.40%,Casual 2
Holger,53,4800,0,Troops Attack/Defense,8.48%,Casual 2
Holger,54,4950,0,Troops Attack/Defense,8.55%,Casual 2
Holger,55,5100,0,Troops Attack/Defense,8.63%,Casual 2
Holger,56,5250,0,Troops Attack/Defense,8.70%,Casual 2
Holger,57,5400,0,Troops Attack/Defense,8.78%,Casual 2
Holger,58,5550,0,Troops Attack/Defense,8.85%,Casual 2
Holger,59,5700,0,Troops Attack/Defense,8.93%,Casual 2
Holger,60,5850,48,Troops Attack/Defense,9.60%,Casual 3
Holger,61,6000,0,Troops Attack/Defense,9.68%,Casual 3
Holger,62,6150,0,Troops Attack/Defense,9.75%,Casual 3
Holger,63,6300,0,Troops Attack/Defense,9.83%,Casual 3
Holger,64,6450,0,Troops Attack/Defense,9.90%,Casual 3
Holger,65,6600,0,Troops Attack/Defense,9.98%,Casual 3
Holger,66,6750,0,Troops Attack/Defense,10.05%,Casual 3
Holger,67,6900,0,Troops Attack/Defense,10.13%,Casual 3
Holger,68,7050,0,Troops Attack/Defense,10.20%,Casual 3
Holger,69,7200,0,Troops Attack/Defense,10.28%,Casual 3
Holger,70,7350,56,Troops Attack/Defense,10.95%,Close 1
Holger,71,7500,0,Troops Attack/Defense,11.03%,Close 1
Holger,72,7650,0,Troops Attack/Defense,11.10%,Close 1
Holger,73,7800,0,Troops Attack/Defense,11.18%,Close 1
Holger,74,7950,0,Troops Attack/Defense,11.25%,Close 1
Holger,75,8100,0,Troops Attack/Defense,11.33%,Close 1
Holger,76,8250,0,Troops Attack/Defense,11.40%,Close 1
Holger,77,8400,0,Troops Attack/Defense,11.48%,Close 1
Holger,78,8550,0,Troops Attack/Defense,11.55%,Close 1
Holger,79,8700,0,Troops Attack/Defense,11.63%,Close 1
Holger,80,8850,64,Troops Attack/Defense,12.30%,Close 2
Holger,81,9000,0,Troops Attack/Defense,12.38%,Close 2
Holger,82,9150,0,Troops Attack/Defense,12.45%,Close 2
Holger,83,9300,0,Troops Attack/Defense,12.53%,Close 2
Holger,84,9450,0,Troops Attack/Defense,12.60%,Close 2
Holger,85,9600,0,Troops Attack/Defense,12.68%,Close 2
Holger,86,9750,0,Troops Attack/Defense,12.75%,Close 2
Holger,87,9900,0,Troops Attack/Defense,12.83%,Close 2
Holger,88,10050,0,Troops Attack/Defense,12.90%,Close 2
Holger,89,10200,0,Troops Attack/Defense,12.98%,Close 2
Holger,90,10350,72,Troops Attack/Defense,13.65%,Close 3
Holger,91,10500,0,Troops Attack/Defense,13.73%,Close 3
Holger,92,10650,0,Troops Attack/Defense,13.80%,Close 3
Holger,93,10800,0,Troops Attack/Defense,13.88%,Close 3
Holger,94,10950,0,Troops Attack/Defense,13.95%,Close 3
Holger,95,11100,0,Troops Attack/Defense,14.03%,Close 3
Holger,96,11250,0,Troops Attack/Defense,14.10%,Close 3
Holger,97,11400,0,Troops Attack/Defense,14.18%,Close 3
Holger,98,11550,0,Troops Attack/Defense,14.25%,Close 3
Holger,99,11700,0,Troops Attack/Defense,14.33%,Close 3
Holger,100,11850,80,Troops Attack/Defense,15.00%,Intimate
Romulus,1,1000,0,Troops Lethality/Health,2.10%,Stranger
Romulus,2,1100,0,Troops Lethality/Health,2.20%,Stranger
Romulus,3,1160,0,Troops Lethality/Health,2.30%,Stranger
Romulus,4,1210,0,Troops Lethality/Health,2.40%,Stranger
Romulus,5,1270,0,Troops Lethality/Health,2.50%,Stranger
Romulus,6,1320,0,Troops Lethality/Health,2.60%,Stranger
Romulus,7,1430,0,Troops Lethality/Health,2.70%,Stranger
Romulus,8,1540,0,Troops Lethality/Health,2.80%,Stranger
Romulus,9,1650,0,Troops Lethality/Health,2.90%,Stranger
Romulus,10,1760,20,Troops Lethality/Health,3.80%,Acquaintance 1
Romulus,11,1870,0,Troops Lethality/Health,3.90%,Acquaintance 1
Romulus,12,1980,0,Troops Lethality/Health,4.00%,Acquaintance 1
Romulus,13,2090,0,Troops Lethality/Health,4.10%,Acquaintance 1
Romulus,14,2200,0,Troops Lethality/Health,4.20%,Acquaintance 1
Romulus,15,2310,0,Troops Lethality/Health,4.30%,Acquaintance 1
Romulus,16,2420,0,Troops Lethality/Health,4.40%,Acquaintance 1
Romulus,17,2530,0,Troops Lethality/Health,4.50%,Acquaintance 1
Romulus,18,2640,0,Troops Lethality/Health,4.60%,Acquaintance 1
Romulus,19,2750,0,Troops Lethality/Health,4.70%,Acquaintance 1
Romulus,20,2860,40,Troops Lethality/Health,5.60%,Acquaintance 2
Romulus,21,2970,0,Troops Lethality/Health,5.70%,Acquaintance 2
Romulus,22,3080,0,Troops Lethality/Health,5.80%,Acquaintance 2
Romulus,23,3190,0,Troops Lethality/Health,5.90%,Acquaintance 2
Romulus,24,3300,0,Troops Lethality/Health,6.00%,Acquaintance 2
Romulus,25,3410,0,Troops Lethality/Health,6.10%,Acquaintance 2
Romulus,26,3520,0,Troops Lethality/Health,6.20%,Acquaintance 2
Romulus,27,3630,0,Troops Lethality/Health,6.30%,Acquaintance 2
Romulus,28,3740,0,Troops Lethality/Health,6.40%,Acquaintance 2
Romulus,29,3850,0,Troops Lethality/Health,6.50%,Acquaintance 2
Romulus,30,4020,80,Troops Lethality/Health,7.40%,Acquaintance 3
Romulus,31,4180,0,Troops Lethality/Health,7.50%,Acquaintance 3
Romulus,32,4650,0,Troops Lethality/Health,7.60%,Acquaintance 3
Romulus,33,4510,0,Troops Lethality/Health,7.70%,Acquaintance 3
Romulus,34,4680,0,Troops Lethality/Health,7.80%,Acquaintance 3
Romulus,35,4840,0,Troops Lethality/Health,7.90%,Acquaintance 3
Romulus,36,5010,0,Troops Lethality/Health,8.00%,Acquaintance 3
Romulus,37,5170,0,Troops Lethality/Health,8.10%,Acquaintance 3
Romulus,38,5340,0,Troops Lethality/Health,8.20%,Acquaintance 3
Romulus,39,5500,0,Troops Lethality/Health,8.30%,Acquaintance 3
Romulus,40,5720,120,Troops Lethality/Health,9.20%,Casual 1
Romulus,41,5940,0,Troops Lethality/Health,9.30%,Casual 1
Romulus,42,6160,0,Troops Lethality/Health,9.40%,Casual 1
Romulus,43,6380,0,Troops Lethality/Health,9.50%,Casual 1
Romulus,44,6600,0,Troops Lethality/Health,9.60%,Casual 1
Romulus,45,6820,0,Troops Lethality/Health,9.70%,Casual 1
Romulus,46,7040,0,Troops Lethality/Health,9.80%,Casual 1
Romulus,47,7260,0,Troops Lethality/Health,9.90%,Casual 1
Romulus,48,7480,0,Troops Lethality/Health,10.00%,Casual 1
Romulus,49,7700,0,Troops Lethality/Health,10.10%,Casual 1
Romulus,50,7980,160,Troops Lethality/Health,11.00%,Casual 2
Romulus,51,8250,0,Troops Lethality/Health,11.10%,Casual 2
Romulus,52,8530,0,Troops Lethality/Health,11.20%,Casual 2
Romulus,53,8800,0,Troops Lethality/Health,11.30%,Casual 2
Romulus,54,9080,0,Troops Lethality/Health,11.40%,Casual 2
Romulus,55,9350,0,Troops Lethality/Health,11.50%,Casual 2
Romulus,56,9630,0,Troops Lethality/Health,11.60%,Casual 2
Romulus,57,9900,0,Troops Lethality/Health,11.70%,Casual 2
Romulus,58,10180,0,Troops Lethality/Health,11.80%,Casual 2
Romulus,59,10450,0,Troops Lethality/Health,11.90%,Casual 2
Romulus,60,10730,200,Troops Lethality/Health,12.80%,Casual 3
Romulus,61,11000,0,Troops Lethality/Health,12.90%,Casual 3
Romulus,62,11280,0,Troops Lethality/Health,13.00%,Casual 3
Romulus,63,11550,0,Troops Lethality/Health,13.10%,Casual 3
Romulus,64,11830,0,Troops Lethality/Health,13.20%,Casual 3
Romulus,65,12100,0,Troops Lethality/Health,13.30%,Casual 3
Romulus,66,12380,0,Troops Lethality/Health,13.40%,Casual 3
Romulus,67,12650,0,Troops Lethality/Health,13.50%,Casual 3
Romulus,68,12930,0,Troops Lethality/Health,13.60%,Casual 3
Romulus,69,13200,0,Troops Lethality/Health,13.70%,Casual 3
Romulus,70,13480,240,Troops Lethality/Health,14.60%,Close 1
Romulus,71,13750,0,Troops Lethality/Health,14.70%,Close 1
Romulus,72,14030,0,Troops Lethality/Health,14.80%,Close 1
Romulus,73,14300,0,Troops Lethality/Health,14.90%,Close 1
Romulus,74,14580,0,Troops Lethality/Health,15.00%,Close 1
Romulus,75,14850,0,Troops Lethality/Health,15.10%,Close 1
Romulus,76,15130,0,Troops Lethality/Health,15.20%,Close 1
Romulus,77,15400,0,Troops Lethality/Health,15.30%,Close 1
Romulus,78,15680,0,Troops Lethality/Health,15.40%,Close 1
Romulus,79,15950,0,Troops Lethality/Health,15.50%,Close 1
Romulus,80,16230,280,Troops Lethality/Health,16.40%,Close 2
Romulus,81,16500,0,Troops Lethality/Health,16.50%,Close 2
Romulus,82,16780,0,Troops Lethality/Health,16.60%,Close 2
Romulus,83,17050,0,Troops Lethality/Health,16.70%,Close 2
Romulus,84,17330,0,Troops Lethality/Health,16.80%,Close 2
Romulus,85,17600,0,Troops Lethality/Health,16.90%,Close 2
Romulus,86,17880,0,Troops Lethality/Health,17.00%,Close 2
Romulus,87,18150,0,Troops Lethality/Health,17.10%,Close 2
Romulus,88,18430,0,Troops Lethality/Health,17.20%,Close 2
Romulus,89,18700,0,Troops Lethality/Health,17.30%,Close 2
Romulus,90,18980,320,Troops Lethality/Health,18.20%,Close 3
Romulus,91,19250,0,Troops Lethality/Health,18.30%,Close 3
Romulus,92,19530,0,Troops Lethality/Health,18.40%,Close 3
Romulus,93,19800,0,Troops Lethality/Health,18.50%,Close 3
Romulus,94,20080,0,Troops Lethality/Health,18.60%,Close 3
Romulus,95,20350,0,Troops Lethality/Health,18.70%,Close 3
Romulus,96,20630,0,Troops Lethality/Health,18.80%,Close 3
Romulus,97,20900,0,Troops Lethality/Health,18.90%,Close 3
Romulus,98,21180,0,Troops Lethality/Health,19.00%,Close 3
Romulus,99,21450,0,Troops Lethality/Health,19.10%,Close 3
Romulus,100,21730,360,Troops Lethality/Health,20.00%,Intimate
Valeria,1,1000,0,Troops Lethality/Health,2.10%,Stranger
Valeria,2,1840,0,Troops Lethality/Health,2.20%,Stranger
Valeria,3,1940,0,Troops Lethality/Health,2.30%,Stranger
Valeria,4,2030,0,Troops Lethality/Health,2.40%,Stranger
Valeria,5,2120,0,Troops Lethality/Health,2.50%,Stranger
Valeria,6,2210,0,Troops Lethality/Health,2.60%,Stranger
Valeria,7,2400,0,Troops Lethality/Health,2.70%,Stranger
Valeria,8,2580,0,Troops Lethality/Health,2.80%,Stranger
Valeria,9,2760,0,Troops Lethality/Health,2.90%,Stranger
Valeria,10,2950,20,Troops Lethality/Health,3.80%,Acquaintance 1
Valeria,11,3130,0,Troops Lethality/Health,3.90%,Acquaintance 1
Valeria,12,3320,0,Troops Lethality/Health,4.00%,Acquaintance 1
Valeria,13,3500,0,Troops Lethality/Health,4.10%,Acquaintance 1
Valeria,14,3680,0,Troops Lethality/Health,4.20%,Acquaintance 1
Valeria,15,3870,0,Troops Lethality/Health,4.30%,Acquaintance 1
Valeria,16,4050,0,Troops Lethality/Health,4.40%,Acquaintance 1
Valeria,17,4240,0,Troops Lethality/Health,4.50%,Acquaintance 1
Valeria,18,4420,0,Troops Lethality/Health,4.60%,Acquaintance 1
Valeria,19,4600,0,Troops Lethality/Health,4.70%,Acquaintance 1
Valeria,20,4790,40,Troops Lethality/Health,5.60%,Acquaintance 2
Valeria,21,4970,0,Troops Lethality/Health,5.70%,Acquaintance 2
Valeria,22,5160,0,Troops Lethality/Health,5.80%,Acquaintance 2
Valeria,23,5340,0,Troops Lethality/Health,5.90%,Acquaintance 2
Valeria,24,5520,0,Troops Lethality/Health,6.00%,Acquaintance 2
Valeria,25,5710,0,Troops Lethality/Health,6.10%,Acquaintance 2
Valeria,26,5890,0,Troops Lethality/Health,6.20%,Acquaintance 2
Valeria,27,6080,0,Troops Lethality/Health,6.30%,Acquaintance 2
Valeria,28,6260,0,Troops Lethality/Health,6.40%,Acquaintance 2
